ide,ident,libelle,obs1,obs2,ident,perimetre,adr1,adr2,codepostal,ville,tel,nom1,prenom1,tel1,poste1,nbclasses,nbplaces,nbinscrits,libelle1,libelle2,pair,pairdebut,pairfin,impair,impairdebut,impairfin,ident,libelle1,motdirec,pairdebutbis,pairfinbis,impairdebutbis,impairfinbis,etablissement,rue
1,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,640 F,RUE DU BEL AIR,AIR,,,,,3,15
2,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,0610Y,RUE DES BARTOUX,BARTOUX,,,,,3,9
3,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,0630V,RUE BEAUSEJOUR,BEAUSEJOUR,,,,,3,13
4,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,SU02E,AVENUE DE BELLEVUE,BELLEVUE,,,,,3,17
5,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,0651T,RUE DE BELLEVUE,BELLEVUE,,,,,3,242
6,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,7275T,AV PROFESSEUR LEON BERNARD,BERNARD,,,,,3,178
7,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,P,2,36,P,1,31,7170D,RUE PAUL BERT,BERT,,,,,3,162
8,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,0675U,RUE DES BOCHOUX,BOCHOUX,,,,,3,20
9,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,1497M,RUE CLAUDE BURGOD,BURGOD,,,,,3,38
10,COTTAGES,Périmètre Cottages,,,E/CO,9,32 RUE DES COTTAGES,,92150,SURESNES,01 41 18 16 91,DUPONT-HUMBERT,Sophie,01 41 18 16 91,,10,270,254,Elémentaire des Cottages,,T,,,T,,,SU04E,IMPASSE DU CALVAIRE,CALVAIRE,,,,,3,228
