id;address;new_address;match
ide;libelle1;;False
1;RUE DU BEL AIR;RUE DU BEL AIR;True
2;RUE DES BARTOUX;RUE DES BARTOUX;True
3;RUE BEAUSEJOUR;RUE BEAUSEJOUR;True
4;AVENUE DE BELLEVUE;;False
5;RUE DE BELLEVUE;RUE DE BELLEVUE;True
6;AV PROFESSEUR LEON BERNARD;;False
7;RUE PAUL BERT;RUE PAUL BERT;True
8;RUE DES BOCHOUX;RUE DES BOCHOUX;True
9;RUE CLAUDE BURGOD;RUE CLAUDE BURGOD;True
10;IMPASSE DU CALVAIRE;;False
11;RUE DU CALVAIRE;RUE DU CALVAIRE;True
12;RUE HUBERT CHARPENTIER;RUE HUBERT CHARPENTIER;True
13;RUE DES CHENES;RUE DES CHENES;True
14;IMPASSE DES CHERCHEVETS;IMPASSE DES CHERCHEVETS;True
15;RUE DES CHERCHEVETS;RUE DES CHERCHEVETS;True
16;RUE DES CHEVREMONTS;RUE DES CHEVREMONTS;True
17;RUE EMILIEN COLIN;RUE EMILIEN COLIN;True
18;RUE DES COTTAGES;RUE DES COTTAGES;True
19;RUE JACQUES DECOUR;RUE JACQUES DECOUR;True
20;RUE MAURICE PAYRET DORTAIL;RUE MAURICE PAYRET DORTAIL;True
21;RUE GUILLEMETTE FAUSSART;RUE GUILLEMETTE FAUSSART;True
22;RUE DU FECHERAY;RUE DU FECHERAY;True
23;CARR DES PATRIOTES FUSILLES;;False
24;RUE HUCHE;RUE HUCHE;True
25;RUE VICTOR HUGO;RUE VICTOR HUGO;True
26;ALLEE DES JONQUILLES;ALLEE DES JONQUILLES;True
27;PLACE MARCEL LEGRAS;PLACE MARCEL LEGRAS;True
28;RUE GUILLAUME LENOIR;RUE GUILLAUME LENOIR;True
29;RUE LEROY;RUE LEROY;True
30;RUE DE LA LIBERTE;RUE DE LA LIBERTE;True
31;CHEMIN DE LA LIBERTE;CHEMIN DE LA LIBERTE;True
32;ALLEE DES MYOSOTIS;ALLEE DES MYOSOTIS;True
33;RUE DES PARECHAUX;RUE DES PARECHAUX;True
34;RUE DES PARIGOTS;RUE DES PARIGOTS;True
35;RUE DES PAVILLONS;RUE DES PAVILLONS;True
36;RUE GABRIEL PHILIPPE;RUE GABRIEL PHILIPPE;True
37;CHEMIN DES PONEYS;CHEMIN DES PONEYS;True
38;RTE DES FUSILLES DE LA RESIS;;False
